sim_time,"(m,n)","(r,s)",fail_rate,repair_rate,iteration,mttf,mttr,ff,fr,elapsed_time
10,"(3, 3)","(10, 10)",1,2.5,0,nan,nan,No Failure,No Repair,0.001
10,"(3, 3)","(10, 10)",1,2.5,1,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,2.5,2,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,2.5,3,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,2.5,4,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,2.5,5,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,2.5,6,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,2.5,7,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,2.5,8,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,2.5,9,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,5,0,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,5,1,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,5,2,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,5,3,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,5,4,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,5,5,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,5,6,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,5,7,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,5,8,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,5,9,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,10,0,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,10,1,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,10,2,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,10,3,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,10,4,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,10,5,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,10,6,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,10,7,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,10,8,nan,nan,No Failure,No Repair,0.001
10,"(3, 3)","(10, 10)",1,10,9,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",2,20,0,nan,nan,No Failure,No Repair,0.001
10,"(3, 3)","(10, 10)",2,20,1,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",2,20,2,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",2,20,3,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",2,20,4,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",2,20,5,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",2,20,6,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",2,20,7,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",2,20,8,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",2,20,9,nan,nan,No Failure,No Repair,0.0
10,"(10, 10)","(2, 2)",1,1,0,0.2706172839506173,3.2678024691358027,0.375,0.428,0.017
10,"(10, 10)","(2, 2)",1,1,1,0.27396296296296296,2.741086419753086,0.286,0.426,0.013
10,"(10, 10)","(2, 2)",1,1,2,0.2177283950617284,3.267691358024692,0.421,0.6,0.001
10,"(10, 10)","(2, 2)",1,1,3,0.2870617283950618,3.624543209876543,0.285,0.387,0.017
10,"(10, 10)","(2, 2)",1,1,4,0.26892592592592596,3.1050370370370373,0.315,0.502,0.017
10,"(10, 10)","(2, 2)",1,1,5,0.2692962962962963,4.101543209876543,0.128,0.138,0.0
10,"(10, 10)","(2, 2)",1,1,6,0.3044938271604938,3.485296296296297,0.218,0.22,0.017
10,"(10, 10)","(2, 2)",1,1,7,0.2596172839506173,3.3702839506172846,0.463,0.505,0.017
10,"(10, 10)","(2, 2)",1,1,8,0.2303456790123457,3.496320987654321,0.443,0.808,0.0
10,"(10, 10)","(2, 2)",1,1,9,0.289320987654321,3.3596419753086417,0.742,0.93,0.017
10,"(10, 10)","(2, 2)",1,2.5,0,0.704679012345679,2.1632839506172843,0.437,1.068,0.019
10,"(10, 10)","(2, 2)",1,2.5,1,0.6573827160493828,2.042864197530864,0.498,0.6,0.006
10,"(10, 10)","(2, 2)",1,2.5,2,0.7933580246913579,2.7202839506172833,0.345,0.764,0.012
10,"(10, 10)","(2, 2)",1,2.5,3,0.6308641975308643,2.3464074074074075,0.54,0.598,0.002
10,"(10, 10)","(2, 2)",1,2.5,4,0.7495555555555556,2.2158148148148147,0.639,0.773,0.012
10,"(10, 10)","(2, 2)",1,2.5,5,0.7637037037037037,2.0101975308641973,0.399,0.804,0.013
10,"(10, 10)","(2, 2)",1,2.5,6,0.6636913580246914,2.349666666666667,0.703,0.772,0.0
10,"(10, 10)","(2, 2)",1,2.5,7,0.5642469135802469,2.1603086419753086,0.396,0.895,0.018
10,"(10, 10)","(2, 2)",1,2.5,8,0.7915925925925926,1.8930864197530866,0.336,0.566,0.008
10,"(10, 10)","(2, 2)",1,2.5,9,0.7415555555555555,2.077777777777778,0.216,0.351,0.009
10,"(10, 10)","(2, 2)",1,5,0,1.2869629629629629,1.8128271604938275,0.581,1.488,0.007
10,"(10, 10)","(2, 2)",1,5,1,1.5817777777777782,1.6428148148148145,0.272,0.643,0.006
10,"(10, 10)","(2, 2)",1,5,2,1.503135802469136,1.9287530864197528,0.321,0.746,0.0
10,"(10, 10)","(2, 2)",1,5,3,1.7501234567901234,1.6973827160493826,0.222,0.635,0.014
10,"(10, 10)","(2, 2)",1,5,4,1.4746543209876544,1.6535802469135799,0.23,0.754,0.0
10,"(10, 10)","(2, 2)",1,5,5,1.3065555555555557,1.6710493827160495,0.886,1.029,0.016
10,"(10, 10)","(2, 2)",1,5,6,1.55058024691358,1.645172839506173,0.46,0.836,0.0
10,"(10, 10)","(2, 2)",1,5,7,1.468320987654321,1.5994567901234569,0.552,0.966,0.021
10,"(10, 10)","(2, 2)",1,5,8,1.223,1.652814814814815,0.61,0.791,0.008
10,"(10, 10)","(2, 2)",1,5,9,1.2973333333333334,1.884925925925926,0.461,0.579,0.008
10,"(10, 10)","(2, 2)",1,10,0,2.6775555555555557,1.3028024691358024,0.296,0.571,0.006
10,"(10, 10)","(2, 2)",1,10,1,2.863481481481481,1.8140246913580245,0.331,0.532,0.005
10,"(10, 10)","(2, 2)",1,10,2,2.893493827160494,2.1213456790123453,0.158,0.558,0.01
10,"(10, 10)","(2, 2)",1,10,3,3.8680740740740744,1.5386543209876544,0.624,0.983,0.009
10,"(10, 10)","(2, 2)",1,10,4,3.3512592592592587,1.7768024691358026,0.377,1.403,0.008
10,"(10, 10)","(2, 2)",1,10,5,2.7669382716049387,1.514716049382716,0.464,1.039,0.002
10,"(10, 10)","(2, 2)",1,10,6,3.6886172839506175,1.5198888888888888,0.196,0.876,0.015
10,"(10, 10)","(2, 2)",1,10,7,3.0441728395061727,1.727814814814815,0.583,0.671,0.0
10,"(10, 10)","(2, 2)",1,10,8,3.1628395061728387,2.3226666666666667,0.272,0.377,0.015
10,"(10, 10)","(2, 2)",1,10,9,2.807567901234568,1.5615802469135802,0.419,0.562,0.009
10,"(10, 10)","(2, 2)",2,20,0,5.578753086419753,3.2724814814814818,0.77,2.867,0.007
10,"(10, 10)","(2, 2)",2,20,1,5.9881111111111105,4.090506172839507,0.643,1.322,0.007
10,"(10, 10)","(2, 2)",2,20,2,7.36511111111111,4.44279012345679,0.782,1.82,0.007
10,"(10, 10)","(2, 2)",2,20,3,6.229654320987654,3.789308641975308,0.629,0.774,0.009
10,"(10, 10)","(2, 2)",2,20,4,5.849530864197531,4.056592592592593,1.03,3.098,0.006
10,"(10, 10)","(2, 2)",2,20,5,7.428012345679011,4.16846913580247,1.84,2.472,0.002
10,"(10, 10)","(2, 2)",2,20,6,7.718345679012346,3.4656049382716048,0.68,1.998,0.014
10,"(10, 10)","(2, 2)",2,20,7,8.436456790123458,4.974037037037037,0.547,1.352,0.002
10,"(10, 10)","(2, 2)",2,20,8,6.786098765432098,3.5519012345679015,0.984,1.862,0.0
10,"(10, 10)","(2, 2)",2,20,9,6.1907407407407415,4.076753086419753,0.495,1.243,0.021
10,"(10, 10)","(3, 3)",1,1,0,0.010843750000000001,0.532296875,2.115,2.193,0.011
10,"(10, 10)","(3, 3)",1,1,1,0.018859374999999998,0.69359375,1.615,1.777,0.01
10,"(10, 10)","(3, 3)",1,1,2,0.029,0.96540625,2.737,2.759,0.008
10,"(10, 10)","(3, 3)",1,1,3,0.04365625000000001,1.001265625,1.847,1.919,0.016
10,"(10, 10)","(3, 3)",1,1,4,0.011546874999999998,1.018390625,1.448,1.511,0.0
10,"(10, 10)","(3, 3)",1,1,5,0.008671875,0.5446093750000001,4.079,4.2,0.022
10,"(10, 10)","(3, 3)",1,1,6,0.008515625,0.311203125,2.051,2.144,0.01
10,"(10, 10)","(3, 3)",1,1,7,0.06678125,1.597109375,3.03,3.344,0.011
10,"(10, 10)","(3, 3)",1,1,8,0.001875,0.286203125,2.788,2.866,0.004
10,"(10, 10)","(3, 3)",1,1,9,0.01190625,0.5258125,3.139,3.262,0.016
10,"(10, 10)","(3, 3)",1,2.5,0,0.17285937499999998,3.371640625,0.954,1.209,0.0
10,"(10, 10)","(3, 3)",1,2.5,1,0.27875,2.4941562499999996,0.619,0.889,0.006
10,"(10, 10)","(3, 3)",1,2.5,2,0.17595312500000002,2.3955,1.469,1.495,0.015
10,"(10, 10)","(3, 3)",1,2.5,3,0.278109375,3.784875,1.819,1.905,0.014
10,"(10, 10)","(3, 3)",1,2.5,4,0.212296875,3.09615625,1.009,1.06,0.002
10,"(10, 10)","(3, 3)",1,2.5,5,0.26390625,2.92521875,0.997,1.213,0.016
10,"(10, 10)","(3, 3)",1,2.5,6,0.290390625,3.220359375,1.405,1.466,0.007
10,"(10, 10)","(3, 3)",1,2.5,7,0.21446874999999999,4.213453125,1.789,1.844,0.009
10,"(10, 10)","(3, 3)",1,2.5,8,0.14590625000000002,2.0458125000000003,1.277,1.533,0.009
10,"(10, 10)","(3, 3)",1,2.5,9,0.124296875,3.5366874999999998,1.471,1.518,0.007
10,"(10, 10)","(3, 3)",1,5,0,0.4931562500000001,2.88225,1.317,1.396,0.0
10,"(10, 10)","(3, 3)",1,5,1,0.785609375,3.272203125,0.628,1.046,0.022
10,"(10, 10)","(3, 3)",1,5,2,0.374859375,3.10621875,1.35,1.514,0.002
10,"(10, 10)","(3, 3)",1,5,3,0.5560625,3.01128125,1.181,1.666,0.015
10,"(10, 10)","(3, 3)",1,5,4,0.5839687499999999,2.8170625,1.308,1.466,0.001
10,"(10, 10)","(3, 3)",1,5,5,0.469125,2.59171875,1.276,1.294,0.011
10,"(10, 10)","(3, 3)",1,5,6,0.49121875000000004,3.262703125,1.125,1.155,0.0
10,"(10, 10)","(3, 3)",1,5,7,0.5243125,3.049578125,1.76,2.565,0.017
10,"(10, 10)","(3, 3)",1,5,8,0.6278125,2.82696875,0.718,1.14,0.0
10,"(10, 10)","(3, 3)",1,5,9,0.604390625,2.67859375,0.831,0.942,0.02
10,"(10, 10)","(3, 3)",1,10,0,1.004390625,1.8542656249999998,1.642,1.944,0.007
10,"(10, 10)","(3, 3)",1,10,1,1.398859375,1.9189375000000002,1.329,1.767,0.008
10,"(10, 10)","(3, 3)",1,10,2,1.207265625,1.8192187499999999,1.384,1.425,0.007
10,"(10, 10)","(3, 3)",1,10,3,1.3492656250000001,1.7751562500000002,0.901,1.324,0.008
10,"(10, 10)","(3, 3)",1,10,4,1.2112656249999998,2.3379843749999996,1.044,1.636,0.001
10,"(10, 10)","(3, 3)",1,10,5,1.1719374999999999,2.7449375000000003,1.846,1.959,0.014
10,"(10, 10)","(3, 3)",1,10,6,1.0005625,2.279953125,1.061,1.311,0.0
10,"(10, 10)","(3, 3)",1,10,7,1.180203125,1.9095937500000002,1.488,1.685,0.015
10,"(10, 10)","(3, 3)",1,10,8,1.305890625,2.1780625000000002,1.382,2.259,0.008
10,"(10, 10)","(3, 3)",1,10,9,1.30446875,1.783171875,0.909,1.202,0.007
10,"(10, 10)","(3, 3)",2,20,0,2.537671875,5.641046875,3.275,4.989,0.006
10,"(10, 10)","(3, 3)",2,20,1,2.2742343750000003,5.91553125,2.196,2.458,0.006
10,"(10, 10)","(3, 3)",2,20,2,2.166484375,4.490765625000001,2.404,3.794,0.007
10,"(10, 10)","(3, 3)",2,20,3,2.34646875,6.481796875000001,2.764,3.461,0.0
10,"(10, 10)","(3, 3)",2,20,4,2.073296875,4.5270625,1.346,4.451,0.015
10,"(10, 10)","(3, 3)",2,20,5,2.021828125,5.14153125,2.664,3.223,0.003
10,"(10, 10)","(3, 3)",2,20,6,2.280390625,6.132546874999999,3.715,4.376,0.009
